stage,start,end,n,ar_intercept,beta,beta_se,lognormal_mu,lognormal_sigma,lognormal_scale,lognormal_median,lognormal_mean,centered_residual_mean,centered_residual_sd
years_1_4,1,4,8511,0.0,0.4514363675786803,0.009722739063378904,0.8576124323450378,0.9836390753683479,2.3575252178869937,2.3575252178869937,3.824337874700851,5.343054293108496e-17,0.9836390753683479
years_5_7,5,7,6486,0.0,0.5366584671607054,0.01042958021186245,0.7423920720019566,0.9111508467113583,2.1009551444210666,2.1009551444210666,3.1819365987018005,-9.859519922665589e-17,0.9111508467113583
years_8_20,8,20,19112,0.0,0.6008531599116814,0.005689953279601886,0.531023258061337,0.9037481883357732,1.7006716445419976,1.7006716445419976,2.558455233699071,-2.9370487717166137e-17,0.9037481883357732
