cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(2, 7)",95707.52689870738,95984.01493413378,"[4137, 10860, 19112]",4137,2,9,6,95716.52689870738,95990.01493413378,95754.49482321869,96015.32688380798
"(2, 8)",95704.75853191817,95976.83755841831,"[4137, 12882, 17090]",4137,2,9,6,95713.75853191817,95982.83755841831,95751.72645642947,96008.14950809251
"(2, 9)",95714.20791194828,95982.42620054251,"[4137, 14834, 15138]",4137,2,9,6,95723.20791194828,95988.42620054251,95761.17583645959,96013.73815021671
"(2, 10)",95720.70457702843,95990.6799588562,"[4137, 16697, 13275]",4137,2,9,6,95729.70457702843,95996.6799588562,95767.67250153974,96021.9919085304
"(2, 11)",95721.39359061622,95991.79562319303,"[4137, 18480, 11492]",4137,2,9,6,95730.39359061622,95997.79562319303,95768.36151512753,96023.10757286723
"(2, 12)",95735.75186258438,96007.83465513375,"[4137, 20160, 9812]",4137,2,9,6,95744.75186258438,96013.83465513375,95782.71978709569,96039.14660480795
"(2, 13)",95751.42380194788,96023.72392861878,"[4137, 21735, 8237]",4137,2,9,6,95760.42380194788,96029.72392861878,95798.39172645919,96055.03587829298
"(2, 14)",95772.20406927694,96046.47605548361,"[4137, 23202, 6770]",4137,2,9,6,95781.20406927694,96052.47605548361,95819.17199378824,96077.78800515781
"(2, 15)",95789.44554327108,96064.05677445946,"[4137, 24547, 5425]",4137,2,9,6,95798.44554327108,96070.05677445946,95836.41346778239,96095.36872413366
"(2, 16)",95791.10813652806,96069.21775209611,"[4137, 25796, 4176]",4137,2,9,6,95800.10813652806,96075.21775209611,95838.07606103936,96100.52970177031
"(2, 17)",95806.61317312148,96083.14240930491,"[4137, 26950, 3022]",3022,2,9,6,95815.61317312148,96089.14240930491,95853.58109763279,96114.45435897911
"(2, 18)",95824.21386773523,96099.13227148926,"[4137, 28026, 1946]",1946,2,9,6,95833.21386773523,96105.13227148926,95871.18179224654,96130.44422116346
"(2, 19)",95829.0912006677,96106.00013495976,"[4137, 29032, 940]",940,2,9,6,95838.0912006677,96112.00013495976,95876.059125179,96137.31208463396
"(3, 4)",95792.34719753944,96078.3134343173,"[6303, 2208, 25598]",2208,2,9,6,95801.34719753944,96084.3134343173,95839.31512205074,96109.6253839915
"(3, 5)",95750.0820047356,96039.39863187514,"[6303, 4429, 23377]",4429,2,9,6,95759.0820047356,96045.39863187514,95797.0499292469,96070.71058154934
"(3, 6)",95735.09257171629,96011.86289734975,"[6303, 6590, 21216]",6303,2,9,6,95744.09257171629,96017.86289734975,95782.0604962276,96043.17484702395
