stage,start,end,cutoff_start,cutoff_end,n,alpha,mode_beta,mode_mu,nll_mode,nll_mode_fixed
years_1_1,1,1,0,1,2030,3.8698013788076873,0.5780364281066827,0.6021002248551852,5084.67709380318,5088.077268420577
years_2_5,2,5,1,5,8702,4.61566885618309,0.7887984805569482,0.36015135574829316,24124.534851435747,24292.33085477652
years_6_11,6,11,5,11,11885,4.229744626550256,0.7166413694812912,-0.30729765166540446,32193.393535249626,32253.584008368005
years_12_20,12,20,11,20,11492,3.6084440120444166,0.7253959813040799,-0.625004889167954,29225.919004664276,29320.596555112024
