dblp_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
=Ouml=zsu:M=_Tamer__1983,0.0,7.200019461162331,3.40668079401508,3.2290636986567964,0.0,2.9143644012641174,13.872617502061653,13.224045766643629,5.048483260875706,16.883716157126276,4.6144047052993615,15.465079682145843,8.470582324333895,24.38057786593359,17.55925646109865,13.126118187221572,10.822350164591086,19.100167907373773,20.07371361415263,22.57828303635325,21.782573038922727
Abdel=Wahab:Hussein_M=__1976,6.044478515578415,5.613461002135438,0.0,4.885269831969991,0.0,0.0,4.04208312582216,0.0,0.0,0.0,3.2290636986567964,0.0,2.9143644012641174,2.7745235004123305,2.6448091533287252,5.048483260875706,7.235878353054118,2.3072023526496808,8.837188389797625,16.94116464866779,26.412292688094723
Ackerman:Mark_S=__1994,0.0,0.0,4.6144047052993615,8.837188389797625,12.705873486500842,8.12685928864453,9.755142478388136,9.375798705158266,7.21490010972739,1.7363789006703432,5.0184284035381586,3.2254690051933212,10.891286519461364,3.0041352414731692,1.4510313998257118,11.220770095779333,5.426342799856521,9.189866949514972,10.169643289973786,8.620860202984346,10.74376003935878
Adali:Sibel__1996,6.352936743250421,0.0,5.853085487032883,3.7503194820633063,3.607450054863695,1.7363789006703432,1.6728094678460528,8.063672512983302,4.667694222626299,4.506202862209754,7.255156999128559,1.4025962619724166,1.35658569996413,1.312838135644996,1.2712054112467233,2.4631029151383848,7.162506692905852,5.788445453647317,4.493036099511478,2.180725335651527,1.0589091392016494
Adali:T=uuml=lay__1992,0.0,0.0,6.921607057949043,6.6278912923482185,6.352936743250421,12.190288932966794,13.657199469743391,5.62547922309496,9.018625137159235,5.20913670201103,10.036856807076315,6.4509380103866425,10.891286519461364,10.514473345156093,8.706188398954271,7.012981309862083,20.34878549946195,11.815543220804964,22.88169740244102,27.09413206652223,15.518764501296014
Adleman:Leonard_M=__1976,12.08895703115683,22.45384400854175,10.458675859539866,4.885269831969991,13.726975515824623,12.88763982016322,8.08416625164432,0.0,3.600009730581166,3.40668079401508,3.2290636986567964,6.1309007630139,0.0,2.7745235004123305,5.2896183066574505,0.0,2.4119594510180393,11.536011763248403,4.418594194898812,6.352936743250421,2.0317148221611325
Aggarwal:Sudhir__1975,6.044478515578415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40668079401508,6.458127397313593,3.06545038150695,5.828728802528235,2.7745235004123305,0.0,0.0,2.4119594510180393,6.921607057949043,2.209297097449406,2.117645581083474,4.063429644322265
Agrawal:Divyakant__1987,3.2290636986567964,6.1309007630139,11.65745760505647,19.421664502886316,13.224045766643629,27.766657934816383,14.471756706108236,29.99363058444585,26.51156516939287,14.823519067584316,44.697726087544915,23.41234194813153,30.00255585650645,28.85960043890956,24.309304609384803,28.4377609533829,35.480159057126535,18.670776890505195,49.56823148430729,26.118565196862814,22.441540191558666
Agrawal:Gagan__1996,2.117645581083474,4.063429644322265,7.80411398271051,11.25095844618992,14.42980021945478,12.154652304692402,23.41933254984474,20.96554853375659,20.22667496471396,24.03308193178535,20.314439597559964,7.012981309862083,14.922442699605432,21.005410170319937,26.69531363618119,29.557234981660617,25.068773425170484,11.576890907294636,16.848885373168045,19.62652802086374,5.294545696008247
Agrawala:Ashok_K=__1970,0.0,0.0,16.884130865113423,7.714444087643125,14.166099811568598,26.12332275554259,18.13343554673525,16.840383006406313,0.0,4.885269831969991,13.726975515824623,12.88763982016322,20.2104156291108,11.433109653271256,3.600009730581166,30.66012714613572,6.458127397313593,6.1309007630139,11.65745760505647,11.098094001649322,5.2896183066574505
Aiken:Alexander__1988,4.823918902036079,11.536011763248403,17.67437677959525,6.352936743250421,4.063429644322265,17.55925646109865,7.500638964126613,9.018625137159235,5.20913670201103,3.3456189356921056,8.063672512983302,1.5558980742087662,12.016540965892675,14.510313998257118,9.818173833806917,10.85268559971304,1.312838135644996,11.44084870122051,13.547066033261116,9.55000892387447,8.103823635106245
Albonesi:David_H=__1996,2.117645581083474,2.0317148221611325,1.9510284956776276,5.62547922309496,7.21490010972739,6.945515602681373,11.70966627492237,14.514610523369946,7.779490371043831,10.514473345156093,5.804125599302847,14.025962619724163,5.426342799856521,2.625676271289992,7.62723246748034,3.694654372707577,1.1937511154843088,1.1576890907294637,1.1232590248778695,0.0,1.0589091392016494
Alexander:Perry__1992,0.0,2.4119594510180393,2.3072023526496808,2.209297097449406,2.117645581083474,8.12685928864453,9.755142478388136,13.126118187221572,7.21490010972739,5.20913670201103,5.0184284035381586,8.063672512983302,3.1117961484175325,4.506202862209754,0.0,4.20778878591725,1.35658569996413,2.625676271289992,2.5424108224934465,1.2315514575691924,2.3875022309686176
Allen:James_F=__1979,5.229337929769933,9.770539663939982,9.15131701054975,17.183519760217628,12.12624937746648,7.622073102180838,3.600009730581166,6.81336158803016,9.68719109597039,0.0,5.828728802528235,0.0,18.513664073301076,5.048483260875706,2.4119594510180393,16.150416468547764,2.209297097449406,14.823519067584316,4.063429644322265,7.80411398271051,7.500638964126613
Allender:Eric__1985,3.600009730581166,10.22004238204524,6.458127397313593,12.2618015260278,17.486186407584704,22.196188003298644,10.5792366133149,5.048483260875706,9.647837804072156,11.536011763248403,6.6278912923482185,23.29410139191821,16.25371857728906,15.60822796542102,16.87643766928488,12.626075192022933,13.891031205362744,6.691237871384211,6.4509380103866425,7.779490371043831,13.51860858662926
Aloimonos:Yiannis__1987,16.14531849328398,9.19635114452085,2.9143644012641174,16.647141002473983,7.934427459986176,22.718174673940677,12.059797255090196,4.6144047052993615,17.67437677959525,6.352936743250421,8.12685928864453,23.41234194813153,7.500638964126613,25.252150384045866,5.20913670201103,6.691237871384211,8.063672512983302,7.779490371043831,6.0082704829463385,13.059282598431407,5.610385047889666
Alves=Foss:Jim__1991,5.2896183066574505,2.524241630437853,0.0,0.0,4.418594194898812,0.0,0.0,1.9510284956776276,5.62547922309496,3.607450054863695,3.4727578013406863,5.0184284035381586,3.2254690051933212,7.779490371043831,4.506202862209754,13.059282598431407,9.818173833806917,5.426342799856521,2.625676271289992,2.5424108224934465,3.694654372707577
Alvisi:Lorenzo__1996,4.235291162166948,2.0317148221611325,11.706170974065763,7.500638964126613,3.607450054863695,12.154652304692402,11.70966627492237,8.063672512983302,1.5558980742087662,7.510338103682923,7.255156999128559,12.623366357751747,6.782928499820651,7.877028813869977,3.81361623374017,4.9262058302767695,2.3875022309686176,4.630756362917854,4.493036099511478,2.180725335651527,1.0589091392016494
Amato:Nancy_M=__1995,11.04648548724703,6.352936743250421,2.0317148221611325,1.9510284956776276,11.25095844618992,21.64470032918217,22.57292570871446,15.055285210614477,14.514610523369946,23.338471113131497,13.51860858662926,17.412376797908543,12.623366357751747,8.13951419978478,2.625676271289992,7.62723246748034,7.389308745415154,15.518764501296014,13.892269088753562,19.09540342292378,16.35544001738645
Amer:Paul_D=__1979,0.0,4.885269831969991,0.0,4.295879940054407,4.04208312582216,0.0,0.0,0.0,6.458127397313593,0.0,5.828728802528235,8.323570501236992,2.6448091533287252,2.524241630437853,7.235878353054118,2.3072023526496808,0.0,4.235291162166948,4.063429644322265,5.853085487032883,5.62547922309496
Ammann:Paul__1988,2.9143644012641174,5.549047000824661,7.934427459986176,10.096966521751412,4.823918902036079,11.536011763248403,8.837188389797625,8.470582324333895,14.222003755127927,3.902056991355255,11.25095844618992,9.018625137159235,1.7363789006703432,3.3456189356921056,3.2254690051933212,1.5558980742087662,4.506202862209754,8.706188398954271,2.805192523944833,4.06975709989239,6.56419067822498
Ammar:Mostafa_H=__1985,7.200019461162331,10.22004238204524,12.916254794627186,3.06545038150695,14.571822006320588,13.872617502061653,7.934427459986176,5.048483260875706,14.471756706108236,9.228809410598725,17.67437677959525,19.058810229751263,12.190288932966794,15.60822796542102,13.126118187221572,7.21490010972739,12.154652304692402,21.746523081998685,27.41648654414323,18.670776890505195,28.539284793995108
Anderson:Charles_W=__1986,0.0,2.524241630437853,0.0,2.3072023526496808,2.209297097449406,0.0,2.0317148221611325,0.0,5.62547922309496,1.8037250274318477,0.0,0.0,1.6127345025966606,0.0,1.5020676207365846,0.0,1.4025962619724166,2.7131713999282603,0.0,2.5424108224934465,1.2315514575691924
Anderson:John_R=__1972,0.0,0.0,0.0,0.0,0.0,12.08895703115683,0.0,10.458675859539866,0.0,9.15131701054975,0.0,4.04208312582216,11.433109653271256,14.40003892232466,6.81336158803016,6.458127397313593,0.0,5.828728802528235,8.323570501236992,0.0,10.096966521751412
Anderson:Tom__1991,2.6448091533287252,7.572724891313559,0.0,0.0,4.418594194898812,2.117645581083474,0.0,1.9510284956776276,0.0,1.8037250274318477,3.4727578013406863,0.0,3.2254690051933212,3.1117961484175325,3.0041352414731692,1.4510313998257118,1.4025962619724166,4.06975709989239,1.312838135644996,0.0,1.2315514575691924
