source,stage,value
empirical,years_1_4,-8.712713542487808
empirical,years_1_4,-4.1466780289263525
empirical,years_1_4,3.4963846043199247
empirical,years_1_4,-3.8836560831319966
empirical,years_1_4,-3.6533773959626177
empirical,years_1_4,-2.7653766762195975
empirical,years_1_4,-2.524241630437853
empirical,years_1_4,0.0
empirical,years_1_4,4.418594194898812
empirical,years_1_4,-2.203576340005815
empirical,years_1_4,9.67445615190463
empirical,years_1_4,-4.205532009939151
empirical,years_1_4,-3.8931889092629177
empirical,years_1_4,-5.678761347908266
empirical,years_1_4,-2.6448091533287252
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,3.82137066487175
empirical,years_1_4,-2.102766004969576
empirical,years_1_4,1.6608556002322366
empirical,years_1_4,-0.2020383802845131
empirical,years_1_4,-4.69354874399661
empirical,years_1_4,-4.321221921089288
empirical,years_1_4,-0.0806863264835049
empirical,years_1_4,9.299929950512292
empirical,years_1_4,7.723427656227003
empirical,years_1_4,-4.129663255293176
empirical,years_1_4,1.5894208866324302
empirical,years_1_4,-2.00576340771636
empirical,years_1_4,4.885269831969991
empirical,years_1_4,-4.885269831969991
empirical,years_1_4,4.295879940054407
empirical,years_1_4,-0.2537968142322473
empirical,years_1_4,8.958575270947327
empirical,years_1_4,-1.8082849462018211
empirical,years_1_4,3.917177958797476
empirical,years_1_4,-4.483852157966966
empirical,years_1_4,2.6346825995605436
empirical,years_1_4,2.385380459161514
empirical,years_1_4,2.162539061765236
empirical,years_1_4,-5.273047619715333
empirical,years_1_4,3.0200229208829086
empirical,years_1_4,2.6962124125819464
empirical,years_1_4,-9.850804413120237
empirical,years_1_4,11.50637162481364
empirical,years_1_4,6.330788079887858
empirical,years_1_4,-8.120508941371197
empirical,years_1_4,8.958575270947327
empirical,years_1_4,-3.259316346027534
empirical,years_1_4,1.399995178914839
empirical,years_1_4,1.3057259862658266
empirical,years_1_4,10.71465391368818
empirical,years_1_4,-5.73257575009046
empirical,years_1_4,2.524241630437853
empirical,years_1_4,-2.524241630437853
empirical,years_1_4,2.3072023526496808
empirical,years_1_4,-0.0979052552002746
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,11.175089691543944
empirical,years_1_4,-2.3037680226304857
empirical,years_1_4,-2.14045566123937
empirical,years_1_4,-3.663466099813557
empirical,years_1_4,2.7382237472072575
empirical,years_1_4,-0.4532579407284984
empirical,years_1_4,5.129524298269301
empirical,years_1_4,4.927915737984834
empirical,years_1_4,-7.572724891313559
empirical,years_1_4,0.0
empirical,years_1_4,4.418594194898812
empirical,years_1_4,-2.193087475128142
empirical,years_1_4,3.5985819727713575
empirical,years_1_4,3.321711200464473
empirical,years_1_4,-9.085971263920742
empirical,years_1_4,-0.3096113266951157
empirical,years_1_4,4.016101374833939
empirical,years_1_4,-0.5075936284644946
empirical,years_1_4,7.159979952717357
empirical,years_1_4,0.0
empirical,years_1_4,2.3072023526496808
empirical,years_1_4,-0.0979052552002746
empirical,years_1_4,-2.209297097449406
empirical,years_1_4,-0.5522192168986519
empirical,years_1_4,-0.4863521733072318
empirical,years_1_4,-6.044478515578415
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,7.714444087643125
empirical,years_1_4,-7.714444087643125
empirical,years_1_4,-0.0484351378532952
empirical,years_1_4,6.736917937812365
empirical,years_1_4,-1.5753235215598007
empirical,years_1_4,-1.479369033238087
empirical,years_1_4,3.902056991355255
empirical,years_1_4,-2.026897250323602
empirical,years_1_4,-0.0714347135998054
empirical,years_1_4,5.141790575249525
empirical,years_1_4,-2.9143644012641174
empirical,years_1_4,5.2896183066574505
empirical,years_1_4,2.2831065846561085
empirical,years_1_4,-0.336846538259441
empirical,years_1_4,-0.0920211240165729
empirical,years_1_4,-1.4003332642832642
empirical,years_1_4,5.04318892058862
empirical,years_1_4,-0.1982697683876537
empirical,years_1_4,-0.0416327243982728
empirical,years_1_4,-0.0396539536775308
empirical,years_1_4,2.3497018888837338
empirical,years_1_4,-2.4235642557234627
empirical,years_1_4,9.68719109597039
empirical,years_1_4,2.57461043005741
empirical,years_1_4,2.3100204802927884
empirical,years_1_4,-6.248251505083596
empirical,years_1_4,4.823918902036079
empirical,years_1_4,2.097688155912964
empirical,years_1_4,-2.5030128630502304
empirical,years_1_4,1.9343425483516088
empirical,years_1_4,-0.1636133171498466
empirical,years_1_4,8.592007223549519
empirical,years_1_4,2.215159897005183
empirical,years_1_4,-5.938190042075477
empirical,years_1_4,2.2996772715982257
empirical,years_1_4,6.712092861212325
empirical,years_1_4,-4.908120470900185
empirical,years_1_4,-4.510245711264744
empirical,years_1_4,2.1113918422491316
empirical,years_1_4,1.9343425483516088
empirical,years_1_4,7.869067011877506
empirical,years_1_4,-0.5648042853845361
empirical,years_1_4,8.681894503351716
empirical,years_1_4,1.3549623037245997
empirical,years_1_4,-1.9731842940930129
empirical,years_1_4,1.2717159322692932
empirical,years_1_4,8.681894503351716
empirical,years_1_4,-0.3178471641214511
empirical,years_1_4,1.3123596763496987
empirical,years_1_4,-0.3410185703273676
empirical,years_1_4,-5.613461002135438
empirical,years_1_4,0.0
empirical,years_1_4,-2.117645581083474
empirical,years_1_4,7.80411398271051
empirical,years_1_4,-4.053794500647204
empirical,years_1_4,5.268305655095929
empirical,years_1_4,4.404890508562646
empirical,years_1_4,-4.8102152156999125
empirical,years_1_4,4.051988129435083
empirical,years_1_4,-4.40715268001163
empirical,years_1_4,9.124052312230363
empirical,years_1_4,-9.326714665798995
empirical,years_1_4,-0.0916515163659323
empirical,years_1_4,3.9774988853999234
empirical,years_1_4,8.001482513759921
empirical,years_1_4,-3.019404350162199
empirical,years_1_4,-4.105045304528079
empirical,years_1_4,2.304487100428261
empirical,years_1_4,-11.463625938548727
empirical,years_1_4,9.28811371456388
empirical,years_1_4,7.596017150549544
empirical,years_1_4,-9.169686777470298
empirical,years_1_4,-1.6728094678460528
empirical,years_1_4,-1.3544708600432689
empirical,years_1_4,-1.2712054112467233
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,4.823918902036079
empirical,years_1_4,-2.516716549386398
empirical,years_1_4,-0.0979052552002746
empirical,years_1_4,6.261285226884489
empirical,years_1_4,-0.0673461267615045
empirical,years_1_4,1.6092400350217624
empirical,years_1_4,3.105319074694537
empirical,years_1_4,5.9962465832834875
empirical,years_1_4,-6.044478515578415
empirical,years_1_4,10.458675859539866
empirical,years_1_4,-5.573406027569876
empirical,years_1_4,8.841705683854633
empirical,years_1_4,-5.20913670201103
empirical,years_1_4,3.2254690051933212
empirical,years_1_4,4.5540213658505095
empirical,years_1_4,-4.775355129570662
empirical,years_1_4,1.6127345025966606
empirical,years_1_4,1.499061645820872
empirical,years_1_4,8.904744817475143
empirical,years_1_4,3.944804432190155
empirical,years_1_4,-1.3961035844415424
empirical,years_1_4,-0.0793079073550617
empirical,years_1_4,1.1181504313145414
empirical,years_1_4,1.0495030164649275
empirical,years_1_4,5.677642822285402
empirical,years_1_4,-0.4195227025553603
empirical,years_1_4,-0.3891430412508159
empirical,years_1_4,-2.8859441991104697
empirical,years_1_4,1.5020676207365846
empirical,years_1_4,4.302057978566262
empirical,years_1_4,-2.998933075358014
empirical,years_1_4,3.9777359758758175
empirical,years_1_4,1.7234222317397043
empirical,years_1_4,-2.0180291682312648
empirical,years_1_4,6.8108233491583645
empirical,years_1_4,-5.399845000483901
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,16.840383006406313
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,6.530830688885647
empirical,years_1_4,-1.5020676207365846
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,1.6127345025966606
empirical,years_1_4,4.610857794238404
empirical,years_1_4,5.79294866905761
empirical,years_1_4,-0.4082897672869787
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,7.200019461162331
empirical,years_1_4,-5.656395609897952
empirical,years_1_4,1.2690905713258622
empirical,years_1_4,-1.3544708600432689
empirical,years_1_4,6.118103334168431
empirical,years_1_4,-4.885269831969991
empirical,years_1_4,0.0
empirical,years_1_4,0.0
empirical,years_1_4,3.811036551090419
empirical,years_1_4,-0.1933289365660857
empirical,years_1_4,9.509574000612105
empirical,years_1_4,11.607348257428413
empirical,years_1_4,-1.262788363717652
empirical,years_1_4,-7.635269122682951
empirical,years_1_4,-6.530830688885647
empirical,years_1_4,1.399995178914839
empirical,years_1_4,1.3057259862658266
empirical,years_1_4,-2.85120308595312
empirical,years_1_4,1.2690905713258622
empirical,years_1_4,5.47374171380301
empirical,years_1_4,3.250276486864667
empirical,years_1_4,6.4740927153508405
empirical,years_1_4,4.319164642470966
empirical,years_1_4,1.5456706021974722
empirical,years_1_4,6.270713114638466
empirical,years_1_4,8.937533446537337
empirical,years_1_4,0.8022717255982244
empirical,years_1_4,4.700581239416707
empirical,years_1_4,-10.1570067375751
empirical,years_1_4,9.221715588476808
empirical,years_1_4,-1.9327112485140372
empirical,years_1_4,-0.279778565220468
empirical,years_1_4,-0.2537968142322473
empirical,years_1_4,-0.2310465747317405
empirical,years_1_4,-3.811036551090419
empirical,years_1_4,-1.5531038416474574
empirical,years_1_4,-0.0484351378532952
empirical,years_1_4,-0.0460105620082866
empirical,years_1_4,6.530830688885647
empirical,years_1_4,-0.4863521733072318
empirical,years_1_4,-6.044478515578415
empirical,years_1_4,0.0
empirical,years_1_4,-1.6551762834692028
empirical,years_1_4,2.659887110384947
empirical,years_1_4,-2.943224209969692
empirical,years_1_4,5.120109849622581
empirical,years_1_4,-6.689088851419799
empirical,years_1_4,4.807243969244176
empirical,years_1_4,-2.652104625562802
empirical,years_1_4,6.765824420602557
empirical,years_1_4,7.49530822910436
empirical,years_1_4,2.4658307067513547
empirical,years_1_4,-2.063466050756187
empirical,years_1_4,3.675002269531003
empirical,years_1_4,0.0
empirical,years_1_4,6.0082704829463385
empirical,years_1_4,-1.6551762834692028
empirical,years_1_4,2.659887110384947
empirical,years_1_4,-0.0793079073550617
empirical,years_1_4,-1.269351799654076
empirical,years_1_4,2.2793161567040814
empirical,years_1_4,-2.349808247310521
empirical,years_1_4,0.0
empirical,years_1_4,3.902056991355255
empirical,years_1_4,-3.902056991355255
empirical,years_1_4,1.8037250274318477
empirical,years_1_4,-3.216536361749782
empirical,years_1_4,2.6346825995605436
empirical,years_1_4,-2.904237847495936
empirical,years_1_4,-0.1205675228908722
empirical,years_1_4,-3.33914186196911
empirical,years_1_4,1.3944067137922218
empirical,years_1_4,-0.1531086627326185
empirical,years_1_4,1.2572908484125307
empirical,years_1_4,-0.4822700915634872
