source,career_age,n,frac_zero,mean_prod,median_prod,sd_prod,mean_log_prod,var_log_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
empirical,0,2032,0.21013779527559054,4.318335502855497,3.2254690051933212,4.6819163067996765,1.097789984199759,1.1739390166355559,1.5796321806963163,0.3809083783581506,1.4510313998257118,3.2254690051933212,6.095144466483397,9.676407015579963,12.12624937746648
empirical,1,2112,0.20170454545454544,4.632843228141686,3.3456189356921056,4.991382471400416,1.1455524884923898,1.2101674760563215,1.6152395657958052,0.421763336588182,1.4510313998257118,3.3456189356921056,6.352936743250421,10.22004238204524,13.983259523713956
empirical,2,2172,0.14502762430939226,5.888196449014811,4.667694222626299,5.4593956996720685,1.4214082417247922,1.1411026641093223,1.7835239179901183,0.4301261111240902,2.117645581083474,4.667694222626299,8.323570501236992,12.44718459367013,15.616859928696448
empirical,3,2213,0.11522819701762313,7.04655648020829,5.549047000824661,6.491363287162187,1.5973630262852112,1.1164724304882294,1.8982985692430678,0.47561099278180674,2.625676271289992,5.549047000824661,9.770539663939982,14.922442699605432,18.799346054102276
empirical,4,2244,0.11452762923351159,7.517096613280623,5.988513030183942,6.8130806011213885,1.6549711251471284,1.1501943399676455,1.9612914574809586,0.47932664366295635,2.805192523944833,5.988513030183942,10.429070327308844,15.62165546384947,20.110295237119423
empirical,5,2237,0.11399195350916407,7.754937692783815,6.352936743250421,6.7793827100191875,1.6873760151250037,1.161211976680843,1.9962484193962597,0.47334389444342717,2.9020627996514237,6.352936743250421,10.903626678257634,16.27902839956956,20.836918173061363
empirical,6,2175,0.12,7.417675705088093,5.788445453647317,6.724710884793419,1.6315519888043366,1.1783423963340145,1.9513113356245826,0.4866137133097391,2.7131713999282603,5.788445453647317,10.169643289973786,16.141187891515305,20.25300435456774
empirical,7,2117,0.11761927255550307,7.090077121968189,5.549047000824661,6.633553401482399,1.5895702354521986,1.152737606069629,1.8965440634549215,0.5048788573506613,2.4631029151383848,5.549047000824661,9.755142478388136,14.953976791064555,19.058810229751263
empirical,8,2037,0.1325478645066274,6.743448023100086,5.084821644986893,6.689649330079385,1.512159305467365,1.2077987530648238,1.852220132973366,0.5195126562826504,2.209297097449406,5.084821644986893,9.261512725835708,14.953976791064555,19.0055218855485
empirical,9,1959,0.12863705972434916,6.545721366483013,4.775004461937235,6.375863906274312,1.4963940295118658,1.1700765301929046,1.822612815207303,0.5151495605715293,2.209297097449406,4.775004461937235,9.189866949514972,14.184172496413527,19.071289842568138
empirical,10,1869,0.14285714285714285,6.43438243658042,4.630756362917854,6.379431926977354,1.4522378817891322,1.243926659683568,1.813169176733565,0.5389078853132739,2.0317148221611325,4.630756362917854,9.012405724419509,14.602367323412304,18.818683882767157
empirical,11,1791,0.14517029592406477,6.367236392417566,4.6144047052993615,6.3830771656629315,1.4326464687200762,1.2627307610741656,1.7970873914603507,0.5618084026418965,1.8751597410316532,4.6144047052993615,9.15131701054975,14.778617490830309,18.711187150410865
empirical,12,1682,0.15219976218787157,6.132301294209976,4.361450671303054,6.303663745858175,1.3990986202059823,1.2501805820050866,1.7783320129614961,0.5291823379332131,1.8751597410316532,4.361450671303054,8.620860202984346,13.547066033261116,18.399845633942743
empirical,13,1583,0.15034744156664562,6.090734539547615,4.361450671303054,6.571040305237213,1.3803218558270447,1.254013167923598,1.750800573300408,0.5624834447675964,1.704594184258198,4.361450671303054,8.103823635106245,14.021386629355108,18.53616535303798
empirical,14,1471,0.16927260367097213,5.828297427153599,3.811036551090419,6.63260036997253,1.3108453940411293,1.3044018703471874,1.7233041707986818,0.564567650081567,1.5289828474726754,3.811036551090419,8.063672512983302,13.891031205362744,17.59743528031617
