source,aggregation,n,epsilon_shift,shape,loc,scale,ks_stat,ks_pvalue
empirical,year_20,681,0.49,1.134607468311863,0,4.021856321199938,0.11066442840237178,1.017236843360036e-07
simulated,year_20,10000,0.49,0.8075331362909528,0,4.991048528745518,0.05129990712012039,2.5989655183535952e-23
empirical,last_four,2333,0.49,0.996309425453861,0,15.40822652003144,0.062280815392450395,2.6101435461036913e-08
simulated,last_four,10000,0.49,0.5828030201099387,0,21.287338852734838,0.026617605153493762,1.3758255510160537e-06
empirical,full_career,681,0.49,0.7515107276765742,0,116.58246543492189,0.05695728527836352,0.02316502834953505
simulated,full_career,10000,0.49,0.3139359733796879,0,133.9387657366495,0.00752480149059237,0.620202461463341
