source,stage,n,mu_hat,alpha_hat,ks_stat,ks_pvalue,mean,sd,q01,q50,q99
empirical,years_1_4,8511,0.0,3.7042022881008623,0.11287726227299799,6.479122292710468e-95,0.797559458113235,5.242790290932426,-12.08895703115683,0.0,15.424011732141937
simulated,years_1_4,40000,0.2133982939541607,6.406643592468046,0.0735379784733548,1.4685754012334275e-188,0.8829317661942298,13.340955005010363,-32.67744616031934,0.2133982939541607,41.56903044744887
empirical,years_5_7,6486,-0.1346922535230086,4.019228471236284,0.07479518126131335,5.30376777474697e-32,-0.21780430887801866,5.685401936708881,-15.360185893034428,-0.1346922535230086,15.286262181397783
simulated,years_5_7,30000,0.06262432717023192,6.96517871023136,0.07091413486954354,1.2457259188734052e-131,0.1720489733555741,14.401957977752442,-40.135593923409026,0.06262432717023192,42.231312703088406
empirical,years_8_20,19112,-0.0916515163659323,3.4145267883239545,0.10312437572666555,2.0584934461523766e-177,-0.2448729786697283,4.958867828818555,-14.006610633380626,-0.0916515163659323,13.832534738130748
simulated,years_8_20,130000,-0.01585421755210803,5.724675636773607,0.08007742148533015,0.0,-0.13680379457632702,12.280169054256275,-35.83951784643015,-0.01585421755210803,34.87536657890947
