source,start_year,end_year,start_decile,end_decile,count,probability
empirical,0,10,3,1,5,0.07352941176470588
empirical,0,10,3,2,18,0.2647058823529412
empirical,0,10,3,3,5,0.07352941176470588
empirical,0,10,3,4,6,0.08823529411764706
empirical,0,10,3,5,4,0.058823529411764705
empirical,0,10,3,6,6,0.08823529411764706
empirical,0,10,3,7,8,0.11764705882352941
empirical,0,10,3,8,5,0.07352941176470588
empirical,0,10,3,9,7,0.10294117647058823
empirical,0,10,3,10,4,0.058823529411764705
empirical,0,10,4,1,5,0.07352941176470588
empirical,0,10,4,2,10,0.14705882352941177
empirical,0,10,4,3,4,0.058823529411764705
empirical,0,10,4,4,5,0.07352941176470588
empirical,0,10,4,5,5,0.07352941176470588
empirical,0,10,4,6,12,0.17647058823529413
empirical,0,10,4,7,9,0.1323529411764706
empirical,0,10,4,8,5,0.07352941176470588
empirical,0,10,4,9,4,0.058823529411764705
empirical,0,10,4,10,9,0.1323529411764706
empirical,0,10,5,1,6,0.08823529411764706
empirical,0,10,5,2,2,0.029411764705882353
empirical,0,10,5,3,13,0.19117647058823528
empirical,0,10,5,4,12,0.17647058823529413
empirical,0,10,5,5,2,0.029411764705882353
empirical,0,10,5,6,10,0.14705882352941177
empirical,0,10,5,7,6,0.08823529411764706
empirical,0,10,5,8,9,0.1323529411764706
empirical,0,10,5,9,7,0.10294117647058823
empirical,0,10,5,10,1,0.014705882352941176
empirical,0,10,6,1,9,0.1323529411764706
empirical,0,10,6,2,4,0.058823529411764705
empirical,0,10,6,3,11,0.16176470588235295
empirical,0,10,6,4,3,0.04411764705882353
empirical,0,10,6,5,7,0.10294117647058823
empirical,0,10,6,6,12,0.17647058823529413
empirical,0,10,6,7,4,0.058823529411764705
empirical,0,10,6,8,8,0.11764705882352941
empirical,0,10,6,9,5,0.07352941176470588
empirical,0,10,6,10,5,0.07352941176470588
empirical,0,10,7,1,6,0.08823529411764706
empirical,0,10,7,2,7,0.10294117647058823
empirical,0,10,7,3,4,0.058823529411764705
empirical,0,10,7,4,8,0.11764705882352941
empirical,0,10,7,5,6,0.08823529411764706
empirical,0,10,7,6,5,0.07352941176470588
empirical,0,10,7,7,8,0.11764705882352941
empirical,0,10,7,8,5,0.07352941176470588
empirical,0,10,7,9,9,0.1323529411764706
empirical,0,10,7,10,10,0.14705882352941177
empirical,0,10,8,1,7,0.10294117647058823
empirical,0,10,8,2,4,0.058823529411764705
empirical,0,10,8,3,8,0.11764705882352941
empirical,0,10,8,4,7,0.10294117647058823
empirical,0,10,8,5,7,0.10294117647058823
empirical,0,10,8,6,4,0.058823529411764705
empirical,0,10,8,7,4,0.058823529411764705
empirical,0,10,8,8,10,0.14705882352941177
empirical,0,10,8,9,7,0.10294117647058823
empirical,0,10,8,10,10,0.14705882352941177
empirical,0,10,9,1,4,0.058823529411764705
empirical,0,10,9,2,4,0.058823529411764705
empirical,0,10,9,3,8,0.11764705882352941
empirical,0,10,9,4,7,0.10294117647058823
empirical,0,10,9,5,9,0.1323529411764706
empirical,0,10,9,6,3,0.04411764705882353
empirical,0,10,9,7,6,0.08823529411764706
empirical,0,10,9,8,9,0.1323529411764706
empirical,0,10,9,9,6,0.08823529411764706
empirical,0,10,9,10,12,0.17647058823529413
empirical,0,10,10,1,9,0.13043478260869565
empirical,0,10,10,2,2,0.028985507246376812
empirical,0,10,10,3,3,0.043478260869565216
empirical,0,10,10,4,4,0.057971014492753624
empirical,0,10,10,5,8,0.11594202898550725
empirical,0,10,10,6,6,0.08695652173913043
empirical,0,10,10,7,6,0.08695652173913043
empirical,0,10,10,8,6,0.08695652173913043
empirical,0,10,10,9,13,0.18840579710144928
empirical,0,10,10,10,12,0.17391304347826086
empirical,0,20,1,1,8,0.11764705882352941
empirical,0,20,1,2,11,0.16176470588235295
empirical,0,20,1,3,9,0.1323529411764706
empirical,0,20,1,4,7,0.10294117647058823
empirical,0,20,1,5,8,0.11764705882352941
empirical,0,20,1,6,4,0.058823529411764705
empirical,0,20,1,7,5,0.07352941176470588
empirical,0,20,1,8,4,0.058823529411764705
empirical,0,20,1,9,7,0.10294117647058823
empirical,0,20,1,10,5,0.07352941176470588
empirical,0,20,2,1,11,0.16176470588235295
empirical,0,20,2,2,7,0.10294117647058823
empirical,0,20,2,3,10,0.14705882352941177
empirical,0,20,2,4,9,0.1323529411764706
empirical,0,20,2,5,3,0.04411764705882353
empirical,0,20,2,6,3,0.04411764705882353
empirical,0,20,2,7,7,0.10294117647058823
empirical,0,20,2,8,8,0.11764705882352941
empirical,0,20,2,9,4,0.058823529411764705
empirical,0,20,2,10,6,0.08823529411764706
empirical,0,20,3,1,6,0.08823529411764706
empirical,0,20,3,2,4,0.058823529411764705
empirical,0,20,3,3,13,0.19117647058823528
empirical,0,20,3,4,8,0.11764705882352941
empirical,0,20,3,5,9,0.1323529411764706
empirical,0,20,3,6,12,0.17647058823529413
empirical,0,20,3,7,3,0.04411764705882353
empirical,0,20,3,8,7,0.10294117647058823
empirical,0,20,3,9,2,0.029411764705882353
empirical,0,20,3,10,4,0.058823529411764705
empirical,0,20,4,1,5,0.07352941176470588
empirical,0,20,4,2,14,0.20588235294117646
empirical,0,20,4,3,2,0.029411764705882353
empirical,0,20,4,4,9,0.1323529411764706
empirical,0,20,4,5,9,0.1323529411764706
empirical,0,20,4,6,13,0.19117647058823528
empirical,0,20,4,7,6,0.08823529411764706
empirical,0,20,4,8,5,0.07352941176470588
empirical,0,20,4,9,1,0.014705882352941176
empirical,0,20,4,10,4,0.058823529411764705
empirical,0,20,5,1,8,0.11764705882352941
empirical,0,20,5,2,4,0.058823529411764705
empirical,0,20,5,3,8,0.11764705882352941
empirical,0,20,5,4,5,0.07352941176470588
empirical,0,20,5,5,5,0.07352941176470588
empirical,0,20,5,6,8,0.11764705882352941
empirical,0,20,5,7,9,0.1323529411764706
empirical,0,20,5,8,7,0.10294117647058823
empirical,0,20,5,9,8,0.11764705882352941
empirical,0,20,5,10,6,0.08823529411764706
empirical,0,20,6,1,9,0.1323529411764706
empirical,0,20,6,2,4,0.058823529411764705
empirical,0,20,6,3,10,0.14705882352941177
empirical,0,20,6,4,7,0.10294117647058823
empirical,0,20,6,5,4,0.058823529411764705
empirical,0,20,6,6,4,0.058823529411764705
empirical,0,20,6,7,10,0.14705882352941177
