source,aggregation,value
empirical,year_20,21.782573038922727
empirical,year_20,26.412292688094723
empirical,year_20,10.74376003935878
empirical,year_20,1.0589091392016494
empirical,year_20,15.518764501296014
empirical,year_20,2.0317148221611325
empirical,year_20,4.063429644322265
empirical,year_20,22.441540191558666
empirical,year_20,5.294545696008247
empirical,year_20,5.2896183066574505
empirical,year_20,8.103823635106245
empirical,year_20,1.0589091392016494
empirical,year_20,2.3875022309686176
empirical,year_20,7.500638964126613
empirical,year_20,13.51860858662926
empirical,year_20,5.610385047889666
empirical,year_20,3.694654372707577
empirical,year_20,1.0589091392016494
empirical,year_20,16.35544001738645
empirical,year_20,5.62547922309496
empirical,year_20,6.56419067822498
empirical,year_20,28.539284793995108
empirical,year_20,1.2315514575691924
empirical,year_20,10.096966521751412
empirical,year_20,1.2315514575691924
empirical,year_20,19.840975301750323
empirical,year_20,3.581253346452926
empirical,year_20,2.6448091533287252
empirical,year_20,2.625676271289992
empirical,year_20,1.4510313998257118
empirical,year_20,2.3875022309686176
empirical,year_20,9.818173833806917
empirical,year_20,5.968755577421544
empirical,year_20,4.493036099511478
empirical,year_20,2.117818278403299
empirical,year_20,4.630756362917854
empirical,year_20,4.630756362917854
empirical,year_20,0.0
empirical,year_20,4.775004461937235
empirical,year_20,2.0317148221611325
empirical,year_20,2.7131713999282603
empirical,year_20,16.150416468547764
empirical,year_20,0.0
empirical,year_20,1.7363789006703432
empirical,year_20,0.0
empirical,year_20,5.20913670201103
empirical,year_20,17.67437677959525
empirical,year_20,1.0589091392016494
empirical,year_20,0.0
empirical,year_20,7.389308745415154
empirical,year_20,8.898437878727062
empirical,year_20,0.0
empirical,year_20,6.691237871384211
empirical,year_20,9.018625137159235
empirical,year_20,7.62723246748034
empirical,year_20,4.361450671303054
empirical,year_20,7.012981309862083
empirical,year_20,1.1937511154843088
empirical,year_20,3.2710880034772902
empirical,year_20,2.5424108224934465
empirical,year_20,2.246518049755739
empirical,year_20,24.311470905318732
empirical,year_20,11.25095844618992
empirical,year_20,2.524241630437853
empirical,year_20,8.620860202984346
empirical,year_20,0.0
empirical,year_20,4.630756362917854
empirical,year_20,9.189866949514972
empirical,year_20,8.364047339230265
empirical,year_20,6.691237871384211
empirical,year_20,9.676407015579963
empirical,year_20,1.2315514575691924
empirical,year_20,1.2315514575691924
empirical,year_20,3.4727578013406863
empirical,year_20,9.018625137159235
empirical,year_20,5.804125599302847
empirical,year_20,14.778617490830309
empirical,year_20,2.3875022309686176
empirical,year_20,2.117818278403299
empirical,year_20,0.0
empirical,year_20,1.2315514575691924
empirical,year_20,2.3875022309686176
empirical,year_20,4.493036099511478
empirical,year_20,4.418594194898812
empirical,year_20,0.0
empirical,year_20,1.4025962619724166
empirical,year_20,15.62741010603309
empirical,year_20,1.8037250274318477
empirical,year_20,13.547066033261116
empirical,year_20,0.0
empirical,year_20,2.7131713999282603
empirical,year_20,2.9020627996514237
empirical,year_20,13.059282598431407
empirical,year_20,1.2315514575691924
empirical,year_20,2.625676271289992
empirical,year_20,4.630756362917854
empirical,year_20,15.428558881696585
empirical,year_20,5.0184284035381586
empirical,year_20,3.7503194820633063
empirical,year_20,17.972144398045913
empirical,year_20,4.838203507789982
empirical,year_20,0.0
empirical,year_20,13.255782584696435
empirical,year_20,3.581253346452926
empirical,year_20,20.83840363313034
empirical,year_20,0.0
empirical,year_20,3.902056991355255
empirical,year_20,2.180725335651527
empirical,year_20,3.3697770746336086
empirical,year_20,6.691237871384211
empirical,year_20,9.530182252814845
empirical,year_20,0.0
empirical,year_20,15.518764501296014
empirical,year_20,22.88169740244102
empirical,year_20,4.361450671303054
empirical,year_20,2.315378181458927
empirical,year_20,0.0
empirical,year_20,8.706188398954271
empirical,year_20,1.4025962619724166
empirical,year_20,1.9510284956776276
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,1.2712054112467233
empirical,year_20,17.06689576338495
empirical,year_20,1.0903626678257634
empirical,year_20,0.0
empirical,year_20,2.246518049755739
empirical,year_20,7.877028813869977
empirical,year_20,0.0
empirical,year_20,3.581253346452926
empirical,year_20,10.589091392016494
empirical,year_20,14.823519067584316
empirical,year_20,5.251352542579984
empirical,year_20,3.3697770746336086
empirical,year_20,7.389308745415154
empirical,year_20,3.2710880034772902
empirical,year_20,13.059282598431407
empirical,year_20,16.23352524688663
empirical,year_20,9.818173833806917
empirical,year_20,1.6127345025966606
empirical,year_20,21.610491991194294
empirical,year_20,2.3875022309686176
empirical,year_20,18.473271863537885
empirical,year_20,0.0
empirical,year_20,22.531014311048768
empirical,year_20,1.1937511154843088
empirical,year_20,16.647141002473983
empirical,year_20,2.805192523944833
empirical,year_20,1.1232590248778695
empirical,year_20,1.0589091392016494
empirical,year_20,3.3697770746336086
empirical,year_20,5.251352542579984
empirical,year_20,1.312838135644996
empirical,year_20,1.0589091392016494
empirical,year_20,0.0
empirical,year_20,12.712054112467232
empirical,year_20,42.05415669888803
empirical,year_20,9.335388445252596
empirical,year_20,5.0184284035381586
empirical,year_20,3.938514406934989
empirical,year_20,0.0
empirical,year_20,6.782928499820651
empirical,year_20,2.0317148221611325
empirical,year_20,2.9020627996514237
empirical,year_20,1.2712054112467233
empirical,year_20,4.361450671303054
empirical,year_20,10.514473345156093
empirical,year_20,1.4025962619724166
empirical,year_20,2.246518049755739
empirical,year_20,0.0
empirical,year_20,30.19527711983491
empirical,year_20,3.4730672721883904
empirical,year_20,4.838203507789982
empirical,year_20,3.902056991355255
empirical,year_20,8.681894503351716
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,9.496099899748913
empirical,year_20,26.25676271289992
empirical,year_20,6.5421760069545805
empirical,year_20,3.7503194820633063
empirical,year_20,7.255156999128559
empirical,year_20,1.0903626678257634
empirical,year_20,4.775004461937235
empirical,year_20,1.0589091392016494
empirical,year_20,3.2254690051933212
empirical,year_20,1.9510284956776276
empirical,year_20,6.691237871384211
empirical,year_20,5.0184284035381586
empirical,year_20,0.0
empirical,year_20,4.418594194898812
empirical,year_20,11.608251198605696
empirical,year_20,4.9262058302767695
empirical,year_20,7.412363974411546
empirical,year_20,27.03721717325852
empirical,year_20,0.0
empirical,year_20,4.20778878591725
empirical,year_20,0.0
empirical,year_20,1.6728094678460528
empirical,year_20,1.2315514575691924
empirical,year_20,3.607450054863695
empirical,year_20,4.235291162166948
empirical,year_20,1.4510313998257118
empirical,year_20,2.805192523944833
empirical,year_20,1.2315514575691924
empirical,year_20,1.2315514575691924
empirical,year_20,5.084821644986893
empirical,year_20,24.63102915138385
empirical,year_20,8.898437878727062
empirical,year_20,7.012981309862083
empirical,year_20,19.692572034674946
empirical,year_20,6.56419067822498
empirical,year_20,27.41648654414323
empirical,year_20,3.3697770746336086
empirical,year_20,1.4025962619724166
empirical,year_20,1.5020676207365846
empirical,year_20,7.012981309862083
empirical,year_20,4.418594194898812
empirical,year_20,1.9510284956776276
empirical,year_20,28.1273961154748
empirical,year_20,7.510338103682923
empirical,year_20,1.35658569996413
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,3.4730672721883904
empirical,year_20,6.782928499820651
empirical,year_20,5.294545696008247
empirical,year_20,6.5421760069545805
empirical,year_20,10.036856807076315
empirical,year_20,0.0
empirical,year_20,4.235636556806598
empirical,year_20,3.0041352414731692
empirical,year_20,0.0
empirical,year_20,7.389308745415154
empirical,year_20,3.694654372707577
empirical,year_20,4.361450671303054
empirical,year_20,4.418594194898812
empirical,year_20,0.0
empirical,year_20,12.623366357751747
empirical,year_20,1.0589091392016494
empirical,year_20,7.21490010972739
empirical,year_20,1.0589091392016494
empirical,year_20,5.294545696008247
empirical,year_20,17.796875757454124
empirical,year_20,2.3875022309686176
empirical,year_20,2.625676271289992
empirical,year_20,4.823918902036079
empirical,year_20,8.620860202984346
empirical,year_20,1.312838135644996
empirical,year_20,3.581253346452926
empirical,year_20,7.62723246748034
empirical,year_20,5.294545696008247
empirical,year_20,4.667694222626299
empirical,year_20,20.93637477867627
empirical,year_20,3.938514406934989
empirical,year_20,10.157219798779982
empirical,year_20,19.70482332110708
empirical,year_20,50.81383324133634
empirical,year_20,4.493036099511478
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,5.251352542579984
empirical,year_20,4.20778878591725
empirical,year_20,2.117818278403299
empirical,year_20,1.5020676207365846
empirical,year_20,11.083963118122732
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,0.0
empirical,year_20,23.21650239721139
empirical,year_20,7.62723246748034
empirical,year_20,4.667694222626299
empirical,year_20,0.0
empirical,year_20,23.338471113131497
empirical,year_20,10.5792366133149
empirical,year_20,2.9020627996514237
empirical,year_20,2.209297097449406
empirical,year_20,0.0
