source,aggregation,n,epsilon_shift,shape,loc,scale,ks_stat,ks_pvalue
empirical,last_year,2375,0.49,0.9319941926590412,0.0,3.4934981656830737,0.10551818006984669,1.765519666800644e-23
simulated,last_year,10000,0.49,1.0901134505444259,0.0,3.829766459416044,0.029635133582431535,4.600678766022756e-08
empirical,last_four,2333,0.49,0.996309425453861,0.0,15.40822652003144,0.062280815392450395,2.6101435461036913e-08
simulated,last_four,10000,0.49,0.995764053403524,0.0,16.952070642496157,0.018363330910740105,0.0023258022691999957
empirical,full_career,681,0.49,0.7515107276765742,0.0,116.58246543492189,0.05695728527836352,0.02316502834953505
simulated,full_career,10000,0.49,0.5257121065541077,0.0,129.46665014250613,0.008276914118930112,0.4972062540968001
