source,transition_year,destination_year,n,mean_log_delta,median_log_delta,mode_log_delta,var_log_delta,q25_log_delta,q50_log_delta,q75_log_delta,q90_log_delta,q95_log_delta
empirical,0,1,2030,0.028678606078155817,-0.02220178323108335,-0.11229025589269659,1.5928886482426454,-0.5823980535989995,-0.02220178323108335,0.6043489271770182,1.682465008686662,2.263652304363608
empirical,1,2,2107,0.26798227117511153,0.1735279951996076,-0.014094476264325584,1.4352400967935646,-0.2453017297718869,0.1735279951996076,0.8804004766147265,1.8993162364949419,2.416096998647157
empirical,2,3,2166,0.17218322494020413,0.04778207360011577,-0.0016398630884091325,1.1728813380915002,-0.3080189427536555,0.04778207360011577,0.623638789084199,1.437438652055152,2.228055846874153
empirical,3,4,2208,0.05736720548987415,-0.02220178323108335,-0.02415405285190131,1.1051910753646694,-0.4130471988154035,-0.02220178323108335,0.5646104292560135,1.2114498080854823,1.9666334115722202
empirical,4,5,2221,0.02448974913691138,-0.025269911179757076,-0.02608477930979758,1.0856491850012526,-0.4164928573495834,-0.025269911179757076,0.49985837332150895,1.1512141159180274,1.9347881196839176
empirical,5,6,2161,-0.0650208979416563,-0.03157390167524132,0.031501889142847794,1.1238951471558,-0.549031970209667,-0.03157390167524132,0.3623897627625592,1.0197666973665087,1.7962063410778133
empirical,6,7,2104,-0.052901905047319585,-0.031647381753429016,-0.06942017447648485,1.0327234039255084,-0.5618323419581707,-0.031647381753429016,0.3948670429131529,1.1222176171430343,1.7418478233247685
empirical,7,8,2022,-0.08919471639365834,-0.03236164969941813,0.043480727027703114,1.0949505992596977,-0.6009872691727058,-0.03236164969941813,0.40868628323911393,1.1413312812547967,1.8338107424122547
empirical,8,9,1952,-0.024380354278389624,-0.0288293065409867,-0.07224243385891227,1.0639152309512399,-0.5416404770988918,-0.0288293065409867,0.4919204937401319,1.1910307601199244,1.8227078420242298
empirical,9,10,1863,-0.05639154939486658,-0.029749089591223132,0.01059608643586607,1.0288233259448512,-0.5704477628421334,-0.029749089591223132,0.43897415161726605,1.1430323772993944,1.7187383176008129
empirical,10,11,1783,-0.020094039662579655,-0.02708827606724129,-0.09252407757281755,1.0520896090825378,-0.5487085540023122,-0.02708827606724129,0.4846343037839296,1.1945395948732411,1.7702725248059625
empirical,11,12,1680,-0.045819174635849204,-0.027737494537440677,-0.09541813707141644,1.0434498445236817,-0.5420605131978511,-0.027737494537440677,0.41357710936936787,1.2324179534900415,1.8243683591219235
empirical,12,13,1575,-0.027012273869974377,-0.02747321378445622,0.032922437200686216,0.9679094987628443,-0.5447991948109066,-0.02747321378445622,0.4344182223885137,1.2128453420712675,1.7448882418137073
empirical,13,14,1467,-0.08820064372564689,-0.02886478590285102,-0.03391206072133235,0.9912308423950567,-0.5786929534508543,-0.02886478590285102,0.34592678691677425,1.1434545275468082,1.7419696457977878
empirical,14,15,1345,0.003669877538940154,-0.021650356091105327,-0.05607052088141429,1.0124176395099955,-0.5201654585173394,-0.021650356091105327,0.49059898408448044,1.2565757823507262,1.8480741780273058
empirical,15,16,1249,-0.01058943655837979,-0.024611203669602677,0.007745566468667642,1.1015885146999986,-0.549031970209667,-0.024611203669602677,0.5073125723565597,1.327006819471328,1.8964636982745797
empirical,16,17,1154,0.011618268700557289,-0.02473161504910648,0.038479528025980425,0.961763298409904,-0.46800623544374,-0.02473161504910648,0.5008596058124374,1.2486679500882814,1.855918183978134
empirical,17,18,1076,-0.0942326271270428,-0.02895802047510493,-0.028044322474370276,1.00259014355383,-0.6117725998304562,-0.02895802047510493,0.3327319267568488,1.1584648295790663,1.8166981542240022
empirical,18,19,1006,0.022588794609610684,0.0,0.03867791732968451,0.9620080567124747,-0.4858544015222812,0.0,0.5008596058124374,1.3222107696906658,1.8117148988858378
empirical,19,20,940,-0.019264899609091387,-0.025384282992255036,-0.011798939535854869,0.953022018278331,-0.5148630549298059,-0.025384282992255036,0.48962192147036704,1.2793483552493377,1.673055657672927
