source,career_age,n,frac_zero,mean_prod,median_prod,sd_prod,mean_log_prod,var_log_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
empirical,0,2032,0.21013779527559054,4.318335502855497,3.2254690051933212,4.68076411869147,1.097789984199759,1.1733612907415425,1.4485867311783713,0.47869977265100444,1.4510313998257118,3.2254690051933212,6.095144466483397,9.676407015579963,12.12624937746648
empirical,1,2112,0.20170454545454544,4.632843228141686,3.3456189356921056,4.990200659504747,1.1455524884923898,1.2095944800922798,1.4861634974784401,0.5286686404703658,1.4510313998257118,3.3456189356921056,6.352936743250421,10.22004238204524,13.983259523713956
empirical,2,2172,0.14502762430939226,5.888196449014811,4.667694222626299,5.458138788017406,1.4214082417247922,1.1405772945586272,1.6737117142660096,0.5304356471362068,2.117645581083474,4.667694222626299,8.323570501236992,12.44718459367013,15.616859928696448
empirical,3,2213,0.11522819701762313,7.04655648020829,5.549047000824661,6.489896478130431,1.5973630262852112,1.1159679241933862,1.798667682578474,0.5753103748285258,2.625676271289992,5.549047000824661,9.770539663939982,14.922442699605432,18.799346054102276
empirical,4,2244,0.11452762923351159,7.517096613280623,5.988513030183942,6.811562365871091,1.6549711251471284,1.149681775645022,1.8670750196435184,0.5787456337614247,2.805192523944833,5.988513030183942,10.429070327308844,15.62165546384947,20.110295237119423
empirical,5,2237,0.11399195350916407,7.754937692783815,6.352936743250421,6.777867256169915,1.6873760151250037,1.1606928832625683,1.9055473835102392,0.5689548324803589,2.9020627996514237,6.352936743250421,10.903626678257634,16.27902839956956,20.836918173061363
empirical,6,2175,0.12,7.417675705088093,5.788445453647317,6.723164796513464,1.6315519888043366,1.1778006297150105,1.8558604283474167,0.5878962205766374,2.7131713999282603,5.788445453647317,10.169643289973786,16.141187891515305,20.25300435456774
empirical,7,2117,0.11761927255550307,7.090077121968189,5.549047000824661,6.63198648203182,1.5895702354521986,1.152193091376162,1.7940976024109736,0.6186496467048687,2.4631029151383848,5.549047000824661,9.755142478388136,14.953976791064555,19.058810229751263
empirical,8,2037,0.1325478645066274,6.743448023100086,5.084821644986893,6.688007093813059,1.512159305467365,1.207205822896407,1.7449359547355032,0.636710466318521,2.209297097449406,5.084821644986893,9.261512725835708,14.953976791064555,19.0055218855485
empirical,9,1959,0.12863705972434916,6.545721366483013,4.775004461937235,6.3742363723853135,1.4963940295118658,1.1694792476353788,1.7123122742106658,0.6338214196310693,2.209297097449406,4.775004461937235,9.189866949514972,14.184172496413527,19.071289842568138
empirical,10,1869,0.14285714285714285,6.43438243658042,4.630756362917854,6.377725055528213,1.4522378817891322,1.243261102348264,1.7001129733106752,0.6663762478971519,2.0317148221611325,4.630756362917854,9.012405724419509,14.602367323412304,18.818683882767157
empirical,11,1791,0.14517029592406477,6.367236392417566,4.6144047052993615,6.381294929926485,1.4326464687200762,1.2620257187731752,1.68040451377807,0.6992892548280382,1.8751597410316532,4.6144047052993615,9.15131701054975,14.778617490830309,18.711187150410865
empirical,12,1682,0.15219976218787157,6.132301294209976,4.361450671303054,6.301789607643464,1.3990986202059823,1.2494373117423012,1.662005501460321,0.6562858536436206,1.8751597410316532,4.361450671303054,8.620860202984346,13.547066033261116,18.399845633942743
empirical,13,1583,0.15034744156664562,6.090734539547615,4.361450671303054,6.568964475046341,1.3803218558270447,1.2532209928333113,1.6290690752409933,0.7016960435481184,1.704594184258198,4.361450671303054,8.103823635106245,14.021386629355108,18.53616535303798
empirical,14,1471,0.16927260367097213,5.828297427153599,3.811036551090419,6.630345533813548,1.3108453940411293,1.3035151253639465,1.598709939533454,0.7030542041505027,1.5289828474726754,3.811036551090419,8.063672512983302,13.891031205362744,17.59743528031617
empirical,15,1351,0.16580310880829016,5.8518827488704295,3.81361623374017,6.45793479805919,1.3130287140910377,1.3092330220473385,1.5878374090264016,0.7423334150342628,1.4025962619724166,3.81361623374017,8.12685928864453,13.891031205362744,18.429261483752015
empirical,16,1252,0.17252396166134185,5.951174528735456,4.066593372107327,6.639024391787356,1.3230160271969793,1.3362851005472032,1.625506887906906,0.7088489612840067,1.5020676207365846,4.066593372107327,8.109582548490817,13.62672317606032,18.50157393381293
empirical,17,1158,0.17271157167530224,6.006146914366165,4.20778878591725,6.459688159771343,1.3382404793132563,1.3457600504023972,1.6464451951480232,0.7038359083105767,1.5020676207365846,4.20778878591725,8.722901342606107,14.003082667878896,18.311261212712257
empirical,18,1078,0.20500927643784786,5.765040534171146,4.063429644322265,6.531905503945078,1.2552645203370643,1.4451672683417147,1.6427748907137592,0.698693289409306,1.2315514575691924,4.063429644322265,8.09378585457551,13.5658569996413,18.39393256763143
empirical,19,1011,0.18595450049455983,5.91421101619274,3.694654372707577,7.027457814581887,1.2793650913098655,1.3929884701490864,1.610396342946791,0.7374056291232168,1.4025962619724166,3.694654372707577,7.905728136928076,14.441219492094955,19.63143784423879
empirical,20,940,0.1819148936170213,5.8270966037981395,3.7503194820633063,6.7576251163301215,1.2693585109373051,1.382495346944279,1.5805944934207032,0.775965653039158,1.312838135644996,3.7503194820633063,7.779490371043831,14.514610523369946,19.71163092013924
simulated,0,10000,0.0,4.332365717067673,3.0286514219904745,4.320732991753558,1.2060853304283923,0.7866532725430874,0.8913594762304314,1.6416758837244343,1.2778069860453976,3.0286514219904745,5.9374803855730365,9.98974676223503,13.022199789912795
simulated,1,10000,0.0247,6.500247403877636,3.6406434340584277,9.225729485266616,1.4023759505345976,1.08139498003351,1.2097512709685385,1.6733824631291927,1.4706660538884915,3.6406434340584277,7.775885784510246,15.155812597843118,22.434080891948145
simulated,2,10000,0.0232,7.492896893205243,3.9589540001567785,12.25091992650876,1.4945262770282264,1.152965916841927,1.3165703195557925,1.7299119711574118,1.6120047749059467,3.9589540001567785,8.809108607437638,17.525337929133578,25.436289527873917
simulated,3,10000,0.0193,7.742226270176475,4.044857923581249,12.048684439686618,1.5226966115499476,1.145738725126635,1.3457770862501013,1.6775470060784554,1.6731140217652818,4.044857923581249,9.086624562503513,17.903112676691578,27.255009969524416
simulated,4,10000,0.0207,7.864092781844593,4.118554529152011,13.903822313573613,1.5354588700505678,1.150778671868606,1.363644162694792,1.6936778219938,1.709761227297867,4.118554529152011,9.193069376768202,18.30015172553314,27.253974516404742
simulated,5,10000,0.0162,8.04723660795352,4.146817737632174,12.551840681309844,1.5619189574686871,1.1273575723472364,1.386005687159664,1.6592598682832334,1.8072894027411324,4.146817737632174,9.175185265139135,18.873474972739015,28.478378715075305
simulated,6,10000,0.0163,8.298033610637201,4.412299785285868,12.586266660364714,1.5980375262965378,1.13530162799625,1.4304376602404691,1.651030776529026,1.8372273287026246,4.412299785285868,9.641562916811488,19.39072796758549,28.179537599104826
simulated,7,10000,0.0161,8.380239701911314,4.474402477362069,13.239944879419227,1.5989816610697638,1.146866130738206,1.429225839012802,1.670967602630054,1.8880011725922659,4.474402477362069,9.644263968599349,19.33657433276606,29.28437886502443
simulated,8,10000,0.024,7.952864160983473,4.037938752674124,12.424380485183153,1.5214201083684888,1.2087496095104104,1.3490000123870012,1.7777616570666293,1.6188642432650306,4.037938752674124,9.39165114626901,18.59888882543923,28.18479876780676
simulated,9,10000,0.0268,7.5611108503907625,3.7509404213844357,12.450041556261407,1.4625300037158269,1.2168278776725183,1.2832792903942578,1.8015521925023175,1.4773980007023608,3.7509404213844357,8.740910766924467,17.80982478898627,27.174845608389862
simulated,10,10000,0.0319,7.0067897658558635,3.578895100103902,11.071263208357728,1.411583765496389,1.186695089148662,1.2359212650099813,1.760333824961305,1.4105878100128415,3.578895100103902,8.217208157007875,16.66240565374468,24.94366013734781
simulated,11,10000,0.0333,6.858545753140754,3.41738946090009,11.54437213057555,1.3752257349762134,1.1921217664283204,1.1880443328618404,1.8251736580624498,1.3355838895817778,3.41738946090009,7.767536184651984,15.851164396953834,23.61226470795514
simulated,12,10000,0.0324,6.841223713744569,3.354963075148826,13.471790145169503,1.3686195634764184,1.1869308549226676,1.1801850911249192,1.799227966709094,1.325811126536708,3.354963075148826,7.773103597953124,15.745004130404523,24.059676363740458
simulated,13,10000,0.0359,6.702670791575985,3.3432447957438334,11.045607552746686,1.3567863261149875,1.2009509392627158,1.1706940629060143,1.8387362984070879,1.3031356208575091,3.3432447957438334,7.7007258486416035,15.657608816639703,24.058128778583168
simulated,14,10000,0.033,6.703191770519077,3.3182548771951583,12.348875161307749,1.3497683914092926,1.1779314485918837,1.1595358069955966,1.7851789968890452,1.2913817378655061,3.3182548771951583,7.603485794601411,15.239668493241107,22.87331193033028
simulated,15,10000,0.0348,6.647297124991041,3.3095629404927713,10.753908194661161,1.3531663803205403,1.1876243742063253,1.1659886067320038,1.8202940497362488,1.274284170718897,3.3095629404927713,7.7231359968626165,15.936274335960693,23.96646960832639
simulated,16,10000,0.0333,6.750027253593459,3.383022251872674,11.103171690303649,1.3613702118457167,1.1932680910268736,1.167145941478227,1.868411164375601,1.3118289271888601,3.383022251872674,7.711795709166882,15.935888454494144,23.994012570817596
simulated,17,10000,0.0341,6.7196268414959865,3.2922808577718308,11.462247264464928,1.353076457332131,1.1942525332859375,1.1642357397082883,1.8130323548995264,1.302555184135799,3.2922808577718308,7.5248912294267,15.78846328279731,23.556605964668854
simulated,18,10000,0.0362,6.500757472464742,3.238670034476355,10.394661319110133,1.3330940755353156,1.1920967574009944,1.1408328011837132,1.8334782152788986,1.2705490835278461,3.238670034476355,7.511256122622625,15.343806022931009,23.288148169354653
simulated,19,10000,0.0352,6.60178161435278,3.2827617582378195,11.080403316267457,1.3418556912799733,1.1847209837997166,1.1548260267501422,1.7895775388997073,1.273914955373598,3.2827617582378195,7.540147859137603,15.452210250236657,23.599441186159257
simulated,20,10000,0.0338,6.601790372419063,3.2452969137831498,10.732472375661718,1.3428038246796286,1.1883473350578746,1.1439948494255567,1.8712329077641432,1.2992141251405156,3.2452969137831498,7.497918726992827,15.72075131883674,23.79078438879964
