source,stage,n,mu_hat,alpha_hat,ks_stat,ks_pvalue,mean,sd,q01,q50,q99
empirical,years_1_4,8511,0.0,3.7042022881008623,0.11287726227299799,6.479122292710468e-95,0.797559458113235,5.243098318916061,-12.08895703115683,0.0,15.424011732141937
simulated,years_1_4,40000,0.27853246826743405,3.8107446201227373,0.03611628754417254,9.091931428300123e-46,0.9428235887939221,5.361996974313037,-11.026142391748694,0.27853246826743405,17.645573095109878
empirical,years_5_7,6486,-0.13469225352300862,4.019228471236284,0.07479518126131335,5.30376777474697e-32,-0.21780430887801866,5.685840269999437,-15.36018589303443,-0.13469225352300862,15.286262181397783
simulated,years_5_7,30000,-0.6210273390407703,3.9941009259031834,0.02422050884858784,1.0135525193500496e-15,-0.179772310373604,5.524829989607978,-12.937494542285052,-0.6210273390407703,16.65116614449443
empirical,years_8_20,19112,-0.09165151636593238,3.4145267883239545,0.10312437572666555,2.0584934461523766e-177,-0.2448729786697283,4.958997565696825,-14.006610633380628,-0.09165151636593238,13.832534738130748
simulated,years_8_20,130000,-0.4698364139098358,3.4425899679128045,0.022685124796721162,1.5113592378149244e-58,-0.10653192207219367,4.773336091661993,-11.193413897254455,-0.4698364139098358,14.548409307649631
